Id,Habitability_score
0x6808,75.24608493220524
0x6a98,80.44542122020997
0xacc0,72.9510228193206
0x8225,78.84362352061736
0xaee8,80.57009992045053
0xbc8c,85.99524737640913
0x610e,80.41661457799447
0x62e8,72.85391611944883
0x818e,64.96524339720115
0x6dc0,83.03158560677052
0x15a6,75.78926082390198
0x675,53.308279251934984
0x6e24,70.30928577020718
0x3004,73.04676712631834
0x6aeb,80.34514415800209
0xc36b,54.47189189883662
0x17fc,80.37469281128323
0x58a5,68.71148387299593
0x6567,81.42506360350774
0x455a,79.0509150118871
0xa5f9,53.37566068296676
0x5913,78.96618124101164
0x1153,85.88550910416437
0xbe16,82.48235129234342
0xb98c,78.57482983509682
0x6a2e,73.35852010708761
0x11a9,74.14293168381535
0x28ab,80.86047767652921
0x878a,76.93225910817299
0x5c90,81.63604170783992
0xb32d,69.63892871961103
0xc467,84.33633680132077
0x775,53.533676900104396
0x3c43,67.42879076177483
0x877d,79.556622231084
0x5596,83.26703259594518
0x1382,66.57646956846874
0x1da5,79.3639609025256
0x6042,42.48372599795937
0x124b,69.46748290029136
0x813f,77.61805600523769
0x74cf,80.14060795296251
0x48b5,85.02223070483294
0x5222,80.98289158779237
0x4b9d,77.84772315454475
0xb190,78.63779739197716
0x69b4,77.12216642231624
0x32dc,66.45331117308959
0xb82b,70.16600816868069
0xaf92,73.45043927445221
0x51bf,77.54855899437096
0x9a28,82.28437581589502
0x35cc,66.7005376725818
0x6b12,78.78127308832171
0x2677,82.28178119344335
0x20ab,70.89482263267165
0xc92c,84.52187775460038
0x72b6,72.69321359974629
0xa797,80.55103826299651
0x8f6f,50.34452016896186
0xc03a,26.82690835866591
0x587a,73.02858396527014
0xbe0a,84.19837743361016
0x3217,79.3785185177932
0x2517,81.29977222146718
0x33e0,68.41115391550429
0x8912,73.07161183740806
0xac07,80.44507488226833
0x88f0,80.12778025785154
0x9111,62.266961570926284
0x2ef7,80.68952081678484
0x20e7,66.19279326717434
0x19a9,80.42490691349724
0x2620,76.99032198690868
0xb520,79.57254216339552
0xbf7d,68.80525830587464
0x7626,79.20470712510874
0x77b8,82.3837702984888
0x2dca,72.68218812172029
0x54f4,83.66335739203299
0x5608,79.83102681926239
0xb858,61.92034928065186
0x918f,77.60525491404631
0x34b3,67.58412048725316
0x4070,79.06489015323581
0x5615,71.64597405173181
0xc2a8,81.93060815203972
0x1499,84.09165623906587
0x466f,85.15460897429496
0x9408,67.83487623670814
0xc9b,82.47986650411531
0x995d,79.47957946442428
0x34e6,84.60793151466285
0x8a16,76.66328431571237
0x2088,77.59814332537512
0xb8a8,76.40953227164475
0xba3f,85.5602734316696
0x1b1c,77.97333068796956
0x3d6c,71.90299391738466
0xa811,73.20401361656243
0x2836,80.33212764822215
0xc59c,85.05718526264872
0x81df,42.28197196947867
0xc8cb,73.49584980545012
0x5e45,80.72745617453177
0xc47f,74.2669073255512
0xb105,70.02604240247406
0x3f54,40.92775178976347
0x788f,81.39547013052781
0x74a3,82.3835322960777
0x934c,76.56952955693546
0x1dc1,80.12959633120526
0x3225,52.136418330299705
0x48cd,80.74067681264385
0xa0d7,81.40269270131412
0xbecb,80.08685623021616
0x4dd4,65.34837106882536
0x31c8,71.0249079106652
0xb9a7,85.82246164416267
0x654a,80.417310287706
0x9cc4,73.21519973027337
0x5b2c,78.55920068777023
0x8cd4,73.73063489171444
0x6b0a,81.70261125210271
0x7f8,76.8215154404882
0x1a27,76.32238518536315
0x6ba1,72.02897481546924
0x35c9,84.7419394513334
0xbe2,76.08638399101648
0x9443,79.73155871716061
0xbbba,78.29709286860599
0x24fb,82.60466511441216
0x5ce2,75.96699094106293
0xa09f,79.50048143272791
0x8324,77.13654185922326
0xada9,68.73181173988992
0x32c5,57.10265229599092
0xa92b,80.11104532231867
0x9d7,67.22468020545058
0x6163,82.14012921966321
0xbebe,54.12347375010217
0x5c59,68.28218471968374
0x7eb1,70.80536630432151
0xa8b2,66.94847363084928
0x6240,86.61145492090311
0xac0b,52.42751824546607
0x87cc,81.74018267187749
0xb3cb,76.74620742915523
0x58e7,79.64928158639559
0x1014,72.19285488876838
0x7156,83.03085350160045
0x2046,42.66894372554905
0x556f,82.83571180863181
0xe85,80.98784538860758
0xa0c7,67.417721901551
0x33bd,41.108643431443696
0xc7f4,85.36203664231648
0x1e4e,62.78523168383924
0x628a,81.4402638065945
0x9c9a,86.2675410826325
0x7069,82.34403494977288
0x3513,72.94560236567301
0x4482,80.66827104338047
0x4bf7,69.1463827106401
0x454d,85.95391766760005
0xc6ca,67.49405298827529
0x6dcf,79.38473607829533
0x6d1a,79.96605924170144
0xbbcb,22.34524327102642
0x341b,69.81113909341954
0x2231,79.15287063281386
0x9f47,61.08351273070251
0xb4f8,80.29639205082626
0xc83,77.14462067344923
0x53bb,73.25380575819273
0xa8f7,82.41220109602979
0x3237,58.58807339558196
0x7cc8,84.18440720106295
0x925a,35.19153021115487
0xab0c,80.45333925854663
0x7c3,83.62346694592797
0x79b2,74.14001840663306
0x4e06,70.75697032679128
0x684f,74.63692586068036
0x4e43,70.99253654532643
0x228d,82.20045848296004
0x2439,85.23148877849287
0xa47e,71.77654639050891
0xbe58,81.31163304318585
0x35ec,77.55489283441716
0x64d7,79.96090680072949
0x2e4f,70.63848324736226
0x47c6,73.823206078271
0x2485,74.49974301421409
0x4143,82.731684235259
0xbd68,78.25183035392789
0xbb6d,80.70403111955889
0x718e,81.78854319400335
0x757b,82.91916387858913
0xab1c,76.16437684503457
0xc082,78.08566392349492
0x218e,80.44406600639216
0x1717,70.89169893062711
0xc80c,77.19368990159725
0x6c92,72.15952625735459
0xc198,76.11718594356873
0x730a,83.7697914192164
0xa86a,70.6272535493104
0x368d,77.50329817404918
0x41cf,67.52909945116117
0x3d1e,57.79771765395492
0x2aab,80.64910633455207
0x64c5,41.869718784253116
0xa79c,75.08929655440916
0x7ce3,50.17409097594209
0x30f7,81.46382439778994
0x5944,78.32439724134541
0x3f53,72.66842563320115
0x15cc,76.3720708403543
0x4b3a,66.2327878135476
0x9a2b,73.69154200308624
